DATE,MDWORC7URN
2010-01-01,17.9
2010-02-01,18.7
2010-03-01,17.1
2010-04-01,13.5
2010-05-01,11.5
2010-06-01,10.4
2010-07-01,10.0
2010-08-01,9.8
2010-09-01,9.8
2010-10-01,11.2
2010-11-01,14.9
2010-12-01,16.1
2011-01-01,18.4
2011-02-01,18.3
2011-03-01,16.2
2011-04-01,13.9
2011-05-01,12.1
2011-06-01,11.2
2011-07-01,10.6
2011-08-01,10.4
2011-09-01,10.5
2011-10-01,11.9
2011-11-01,15.1
2011-12-01,16.5
2012-01-01,17.8
2012-02-01,17.3
2012-03-01,15.5
2012-04-01,12.7
2012-05-01,11.2
2012-06-01,10.2
2012-07-01,9.8
2012-08-01,9.6
2012-09-01,9.5
2012-10-01,11.2
2012-11-01,14.6
2012-12-01,16.3
2013-01-01,18.3
2013-02-01,17.3
2013-03-01,15.2
2013-04-01,12.6
2013-05-01,10.7
2013-06-01,9.9
2013-07-01,9.3
2013-08-01,8.9
2013-09-01,9.1
2013-10-01,10.5
2013-11-01,14.4
2013-12-01,15.1
2014-01-01,17.2
2014-02-01,16.2
2014-03-01,14.2
2014-04-01,11.7
2014-05-01,9.6
2014-06-01,8.6
2014-07-01,8.2
2014-08-01,7.9
2014-09-01,7.7
2014-10-01,9.7
2014-11-01,13.2
2014-12-01,14.5
2015-01-01,16.5
2015-02-01,15.9
2015-03-01,13.9
2015-04-01,10.2
2015-05-01,8.6
2015-06-01,7.8
2015-07-01,7.4
2015-08-01,7.1
2015-09-01,6.7
2015-10-01,8.4
2015-11-01,11.9
2015-12-01,13.5
